s_num,s_c,s_l,e_l,s_pos,rmse
6,"[360.6881517448254, 308.13483352599866, 387.14160253117905, 451.70433534249486, 177.39205675991417, 314.9619696232654]","[0.25667919259481803, 0.31195325001608265, 0.2026416872141689, 0.2919711928205198, 0.2838776022666884, 0.20194321025600195]",0.0165774437367316,"[-0.14, -0.16, 0.26, 0.01, -0.21, 0.29]",0.8729018072835483
6,"[405.9727874610045, 474.20654296374414, 385.579250476731, 281.86380110088453, 497.1586008191608, 397.3507557319615]","[0.36111924121857586, 0.17727940066106443, 0.31215881698449244, 0.20738435080979029, 0.361146151896649, 0.18573272061135365]",4.0050112417316965,"[-0.13, 0.4, 0.24, 0.36, -0.31, 0.4]",1.89052542334326
6,"[260.0303308958694, 440.51785240043597, 397.9481603441745, 190.98969722493797, 413.31223678152577, 257.78743362697554]","[0.26419562165548227, 0.17133430573976455, 0.3668668908535925, 0.2424057579765627, 0.28031631405578994, 0.25347970730918323]",0.970611030100912,"[0.4, 0.3, -0.15, 0.22, 0.0, -0.11]",1.0565333262253658
5,"[314.53290536291166, 331.3922767565078, 321.39248766537776, 181.9221411458588, 424.3921505244484, nan]","[0.1827388946857725, 0.2376662197136295, 0.38902599851844066, 0.2143249502435427, 0.2867032365462001, nan]",0.1081110636436699,"[0.35000000000000003, 0.08, -0.01, 0.31, -0.08, nan]",0.7066610253162987
4,"[322.2746516414005, 366.119690311838, 166.3065958231266, 487.168082876542, nan, nan]","[0.245033298075587, 0.3262937333078427, 0.29955139869968406, 0.2433764446209272, nan, nan]",0.038055109144327,"[-0.01, 0.03, 0.02, 0.39, nan, nan]",0.7727424405830811
5,"[162.23983714536834, 181.78898602963005, 314.54935533150103, 371.5929129129633, 240.88418174632676, nan]","[0.371282157732326, 0.19011573223471548, 0.2862191892239637, 0.15811096022567464, 0.15796110715043618, nan]",0.4157752548173188,"[-0.28, 0.28, -0.02, 0.15, 0.38, nan]",0.625990780866309
5,"[476.15626269051825, 235.2124987935345, 176.03601724324145, 382.8036518537891, 234.71578098514232, nan]","[0.15487318590227153, 0.3592581353418046, 0.3907535238809995, 0.3967292130760075, 0.20762023730396154, nan]",2.1139486524687747,"[0.38, 0.38, -0.33, 0.16, 0.39, nan]",1.254641541217583
6,"[397.9447320170376, 177.25091443050374, 229.70212395848012, 442.6462432101595, 332.87467880054953, 333.64229281208907]","[0.3796440512421316, 0.3825463583922115, 0.31328945992348445, 0.25667297788543747, 0.22608941959566126, 0.3380518444838656]",0.9205919245636672,"[-0.01, -0.14, 0.03, 0.37, 0.36, -0.15]",1.1121653526231767
3,"[311.32347841377964, 454.96106294207624, 357.0830894537315, nan, nan, nan]","[0.281380266234552, 0.30307841172848765, 0.2646684056137101, nan, nan, nan]",1.0692897341269705,"[0.17, 0.38, 0.39, nan, nan, nan]",1.72176875984987
2,"[287.9984069871962, 302.44165248552457, nan, nan, nan, nan]","[0.26504400759235647, 0.3029711424150382, nan, nan, nan, nan]",0.3237405059022835,"[0.4, 0.4, nan, nan, nan, nan]",1.3316701895258962
6,"[316.52664494807107, 156.67494516092935, 284.2796790733505, 332.0709749329222, 414.5305539695198, 223.13548133469527]","[0.3058875486387121, 0.39467572383073946, 0.16479609561849054, 0.2709627667225133, 0.2863463082720765, 0.2982697988796482]",0.5146390080945851,"[-0.12, -0.37, 0.28, -0.14, 0.4, 0.02]",0.9920240420771208
6,"[230.4139231421446, 487.26448017894415, 247.65142157181975, 428.2946540504972, 357.7270142783118, 270.15590056288073]","[0.2686212777353758, 0.21656468156595882, 0.21640498466268873, 0.1921769540868545, 0.37300639242970346, 0.340470955864002]",0.5845984166939155,"[-0.07, 0.35000000000000003, 0.22, 0.07, 0.05, -0.16]",0.9813002331640164
3,"[365.0951903486357, 280.1723195841521, 211.7716989746886, nan, nan, nan]","[0.29456481413891195, 0.2644063791694864, 0.2626151482461879, nan, nan, nan]",0.8332282014917558,"[0.36, 0.34, 0.4, nan, nan, nan]",1.390247758008692
5,"[393.2358669793485, 391.9550261640248, 489.47351057231083, 324.5180541004569, 473.6991420210825, nan]","[0.1926192905475558, 0.18249002702984274, 0.17482088546236968, 0.15095725111910938, 0.2157146492186989, nan]",4.8266948578467295,"[0.3, 0.01, 0.39, 0.26, 0.38, nan]",1.805297231603872
4,"[468.963475476663, 296.8688879902807, 416.3835575317391, 220.1505180102261, nan, nan]","[0.3258990043085491, 0.28580083897129893, 0.39707103761277895, 0.22203874053892575, nan, nan]",1.4384588312175128,"[0.38, 0.4, 0.18, 0.39, nan, nan]",1.697166758007736
