number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
21.73,"[array([-13,   1,  12,   9]), array([360, 390, 320, 560]), array([0.25, 0.15, 0.25, 0.25])]","[array([2., 0., 8., 0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
35.32,"[array([-15,  12,   4, -12]), array([220, 220, 360, 710]), array([0.15, 0.15, 0.25, 0.25])]","[array([19.,  0., 11.,  0.]), array([460., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
19.63,"[array([-12,  -2,  13,   5]), array([680, 470, 490, 770]), array([0.25, 0.15, 0.15, 0.15])]","[array([8., 0., 2., 6.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
11.24,"[array([  9,   6, -11,  18]), array([400, 480, 260, 500]), array([0.15, 0.15, 0.15, 0.15])]","[array([14.,  0.,  0.,  5.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
14.19,"[array([-11,   2,   5,  -9]), array([750, 770, 520, 510]), array([0.15, 0.25, 0.15, 0.15])]","[array([19.,  0.,  6.,  0.]), array([330., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
12.52,"[array([-19, -14,  19,  16]), array([790, 560, 220, 450]), array([0.15, 0.25, 0.25, 0.25])]","[array([ 0.,  0.,  0., 13.]), array([200., 200., 200., 230.]), array([0.25, 0.25, 0.25, 0.25])]"
9.21,"[array([-2,  5, -8, -2]), array([680, 520, 470, 730]), array([0.25, 0.15, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([310., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
19.23,"[array([-17,  13,  15,   5]), array([460, 750, 670, 450]), array([0.15, 0.25, 0.25, 0.25])]","[array([ 0.,  0., 10.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
52.35,"[array([-15,  -6,   3, -16]), array([300, 600, 470, 500]), array([0.25, 0.25, 0.15, 0.15])]","[array([19.,  0.,  1.,  0.]), array([690., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
6.78,"[array([-15,  11,  -7,  17]), array([590, 620, 740, 290]), array([0.15, 0.15, 0.25, 0.25])]","[array([ 0.,  4.,  0., 16.]), array([200., 200., 200., 220.]), array([0.25, 0.25, 0.25, 0.25])]"
7.23,"[array([12, -2, 18, -9]), array([240, 650, 270, 340]), array([0.25, 0.25, 0.25, 0.25])]","[array([14.,  0., 16.,  0.]), array([200., 200., 210., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
12.57,"[array([ -5,  -3, -14,   8]), array([420, 320, 310, 460]), array([0.15, 0.15, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([340., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
7.50,"[array([ -8, -11,  -2,  13]), array([660, 450, 780, 370]), array([0.25, 0.25, 0.15, 0.25])]","[array([14.,  0.,  0.,  8.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
30.69,"[array([-13, -16,   3,  11]), array([300, 760, 660, 790]), array([0.25, 0.25, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([500., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
34.99,"[array([ 10,  -8,   3, -11]), array([660, 370, 210, 770]), array([0.25, 0.25, 0.15, 0.25])]","[array([16.,  0.,  8.,  0.]), array([640., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
29.44,"[array([ 11,  -1,  17, -13]), array([290, 580, 520, 520]), array([0.25, 0.15, 0.25, 0.25])]","[array([ 9.,  0., 18.,  0.]), array([200., 200., 470., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
43.19,"[array([ 10,   4, -14,   7]), array([590, 220, 780, 700]), array([0.15, 0.25, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([610., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
7.93,"[array([-2,  0,  7, -9]), array([730, 730, 520, 710]), array([0.25, 0.15, 0.15, 0.25])]","[array([12.,  0., 11.,  0.]), array([360., 200., 230., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
82.30,"[array([-19, -15, -12,  -7]), array([760, 800, 690, 600]), array([0.25, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
25.75,"[array([  9,  12,  13, -15]), array([270, 520, 280, 540]), array([0.25, 0.15, 0.15, 0.15])]","[array([ 5., 15., 11.,  0.]), array([200., 420., 350., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
35.24,"[array([-13, -14,   8,  -8]), array([410, 460, 790, 780]), array([0.15, 0.25, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([540., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
63.19,"[array([  9,   6,   9, -18]), array([560, 550, 360, 520]), array([0.15, 0.15, 0.25, 0.15])]","[array([15.,  7., 18.,  0.]), array([560., 280., 380., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
17.09,"[array([-1,  3, 17, -9]), array([530, 470, 300, 690]), array([0.15, 0.15, 0.15, 0.15])]","[array([ 0., 10., 16.,  0.]), array([200., 200., 400., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
43.19,"[array([ 16,  -8,  -6, -14]), array([440, 750, 370, 250]), array([0.25, 0.25, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([610., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
82.30,"[array([-17, -15, -18,  -5]), array([320, 700, 240, 560]), array([0.25, 0.15, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
14.44,"[array([ 2, 14, -8, -2]), array([650, 790, 420, 380]), array([0.15, 0.15, 0.25, 0.15])]","[array([5., 8., 0., 9.]), array([200., 280., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
20.67,"[array([-17,  -3,  17,  15]), array([580, 280, 500, 590]), array([0.15, 0.25, 0.25, 0.15])]","[array([0., 0., 0., 9.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
82.30,"[array([  3, -18, -12,  -5]), array([550, 430, 540, 400]), array([0.25, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
48.38,"[array([  3, -15, -16,  16]), array([650, 410, 770, 210]), array([0.25, 0.15, 0.25, 0.15])]","[array([10., 16.,  0.,  0.]), array([800., 320., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
19.57,"[array([-12,   6,   0,   2]), array([660, 370, 720, 660]), array([0.15, 0.15, 0.15, 0.15])]","[array([6., 6., 2., 6.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
8.13,"[array([-10,  18,  16,  -7]), array([550, 320, 350, 490]), array([0.25, 0.15, 0.25, 0.15])]","[array([ 0.,  8., 15.,  0.]), array([200., 200., 350., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
